severity_bucket,order_count,reviewed_order_count,average_review_score,low_review_rate
Early,88644,88163,4.2941143109921396,9.1715175307973467
On Time,1292,1280,4.0335937500000000,12.3065015479876161
1-3 Days Late,1870,1852,3.2910367170626350,31.8181818181818182
4-7 Days Late,1802,1748,2.1029748283752860,65.6492785793562708
8-14 Days Late,1478,1446,1.6708160442600277,78.4167794316644114
15+ Days Late,1384,1335,1.7235955056179775,75.5780346820809249
