stage,valid_order_count,median_days,p75_days,p90_days,invalid_duration_count
Approval,96456,0.014305555555555556,0.6048755787037037,1.4414467592592592,0
Processing,95105,1.8490509259259258,3.6184837962962964,6.023055555555556,1350
Shipping,96446,7.100312499999999,12.029713541666666,18.901423611111113,23
Total delivery,96470,10.217476851851853,15.720182291666667,23.09637731481482,0
