customer_state,eligible_orders,late_delivery_rate,median_shipping_days,at_risk_order_value,average_review_score
SP,40494,4.494493011310317,4.408136574074074,303264.84,4.2457904932200865
RJ,12350,12.105263157894736,8.350468750000001,251522.72,3.965440995823438
MG,11354,4.571076272679233,7.191684027777778,88242.93,4.192290651307045
BA,3256,12.162162162162163,13.837309027777778,73513.84,3.930628677609167
RS,5344,6.081586826347305,10.004369212962963,51843.54000000001,4.184754036800601
SC,3546,8.206429780033842,9.526145833333334,45021.530000000006,4.133560670645069
ES,1995,10.726817042606516,9.966261574074075,40332.78999999999,4.078720162519045
CE,1279,13.76075058639562,14.75576388888889,36918.53999999999,3.9442262372348784
PR,4923,4.042250660166565,7.182280092592593,34202.72,4.239795918367347
PE,1593,9.6045197740113,12.846215277777778,31938.3,4.082963901203294
MA,717,17.433751743375176,15.68125,29030.950000000004,3.832865168539326
PA,946,11.20507399577167,17.27859375,23227.78,3.9142550911039655
GO,1957,6.540623403168115,10.98962962962963,21604.33,4.105858170606372
AL,397,21.41057934508816,18.123252314814813,20964.35,3.8477157360406093
DF,2080,5.673076923076923,8.08521412037037,16748.07,4.131400966183575
PI,476,13.865546218487395,13.475555555555555,14015.179999999998,3.9936305732484074
SE,335,15.223880597014924,14.2046875,12725.67,3.907185628742515
MS,701,9.700427960057063,11.063912037037037,12037.920000000004,4.161659513590844
PB,517,10.444874274661508,14.120046296296296,11697.39,4.076171875
MT,886,5.981941309255079,13.200653935185185,10286.279999999999,4.145620022753128
RN,474,9.282700421940929,13.082667824074075,9183.529999999999,4.150743099787686
TO,274,9.854014598540147,13.11611111111111,6893.35,4.153846153846154
RO,243,2.880658436213992,15.101481481481482,1215.8700000000001,4.1652892561983474
AM,145,2.7586206896551726,23.040613425925926,952.91,4.243055555555555
