seller_id,eligible_orders,late_orders,late_delivery_rate,dispatch_sla_breach_rate,median_processing_days,at_risk_order_value,platform_late_delivery_rate,priority_group
4869f7a5dfa277a7dca6462dcf3b52b2,1124,118,10.4982206405693950,5.5160142348754448,1.9525636574074072,26999.78,6.7730900798175599,Investigate Now
4a3ca9315b744ce9f8e9374361493884,1772,172,9.7065462753950339,8.6907449209932280,1.8626562500000001,23999.65,6.7730900798175599,Investigate Now
7c67e1448b00f6e969d365cea6b010ab,973,89,9.1469681397738952,29.7019527235354573,10.980625,21248.61,6.7730900798175599,Investigate Now
7d13fca15225358621be4086e1eb0964,558,64,11.4695340501792115,14.8745519713261649,3.089537037037037,15295.37,6.7730900798175599,Investigate Now
fa1c13f2614d7b5c4749cbc52fecda94,578,53,9.1695501730103806,7.9584775086505190,1.9478472222222223,15075.46,6.7730900798175599,Investigate Now
1025f0e2d44d7041d6cf58b6550e0bfa,910,72,7.9120879120879121,17.8021978021978022,3.0492245370370368,14281.76,6.7730900798175599,Investigate Now
1f50f920176fa81dab994f9023523100,1399,124,8.8634739099356683,10.8649035025017870,3.3106597222222223,11593.08,6.7730900798175599,Investigate Now
f7ba60f8c3f99e7ee4042fdef03b70c4,218,30,13.7614678899082569,0.91743119266055045872,1.7590104166666667,9862.99,6.7730900798175599,Investigate Now
712e6ed8aa4aa1fa65dab41fed5737e4,77,16,20.7792207792207792,19.4805194805194805,2.217627314814815,9738.98,6.7730900798175599,Investigate Now
620c87c171fb2a6dd6e8bb4dec959fc6,722,63,8.7257617728531856,7.4792243767313019,1.2494212962962963,9402.45,6.7730900798175599,Investigate Now
06a2c3af7b3aee5d69171b0e14f0ee87,389,74,19.0231362467866324,31.1053984575835476,2.34171875,8622.19,6.7730900798175599,Investigate Now
8160255418d5aaa7dbdc9f4c64ebda44,380,52,13.6842105263157895,24.4736842105263158,2.221863425925926,8120.92,6.7730900798175599,Investigate Now
2eb70248d66e0e3ef83659f71b244378,187,21,11.2299465240641711,32.0855614973262032,9.604039351851853,7342.57,6.7730900798175599,Investigate Now
88460e8ebdecbfecb5f9601833981930,246,42,17.0731707317073171,47.5609756097560976,5.927118055555556,6963.09,6.7730900798175599,Investigate Now
522620dcb18a6b31cd7bdf73665113a9,172,15,8.7209302325581395,5.2325581395348837,1.7866550925925926,6902.02,6.7730900798175599,Investigate Now
fe2032dab1a61af8794248c8196565c9,293,26,8.8737201365187713,6.4846416382252560,1.0360185185185187,6507.43,6.7730900798175599,Investigate Now
855668e0971d4dfd7bef1b6a4133b41b,300,38,12.6666666666666667,18.3333333333333333,3.341834490740741,6482.42,6.7730900798175599,Investigate Now
17e34d8224d27a541263c4c64b11a56b,247,19,7.6923076923076923,8.9068825910931174,1.4462847222222222,6305.56,6.7730900798175599,Investigate Now
7ddcbb64b5bc1ef36ca8c151f6ec77df,325,27,8.3076923076923077,0.92307692307692307692,1.6918344907407405,6265.03,6.7730900798175599,Investigate Now
b33e7c55446eabf8fe1a42d037ac7d6d,149,17,11.4093959731543624,0.67114093959731543624,1.603778935185185,5965.92,6.7730900798175599,Investigate Now
4e922959ae960d389249c378d1c939f5,412,37,8.9805825242718447,10.9223300970873786,2.5027546296296297,5836.35,6.7730900798175599,Investigate Now
8581055ce74af1daba164fdbd55a40de,379,31,8.1794195250659631,5.0131926121372032,2.3455439814814816,5607.54,6.7730900798175599,Investigate Now
634964b17796e64304cadf1ad3050fb7,265,25,9.4339622641509434,10.1886792452830189,2.484398148148148,5404.65,6.7730900798175599,Investigate Now
218d46b86c1881d022bce9c68a7d4b15,382,33,8.6387434554973822,4.1884816753926702,1.137175925925926,5246.75,6.7730900798175599,Investigate Now
25c5c91f63607446a97b143d2d535d31,156,11,7.0512820512820513,16.0256410256410256,3.699872685185185,5070.00,6.7730900798175599,Investigate Now
ea566164622c6b439516ab18062c42cd,50,9,18.0000000000000000,8.0000000000000000,1.9992824074074074,4881.68,6.7730900798175599,Investigate Now
59b22a78efb79a4797979612b885db36,125,14,11.2000000000000000,4.8000000000000000,1.2117708333333332,4871.83,6.7730900798175599,Investigate Now
7142540dd4c91e2237acb7e911c4eba2,316,23,7.2784810126582278,6.0126582278481013,1.7149652777777777,4801.48,6.7730900798175599,Investigate Now
04308b1ee57b6625f47df1d56f00eedf,92,7,7.6086956521739130,28.2608695652173913,4.048668981481481,4788.81,6.7730900798175599,Investigate Now
77530e9772f57a62c906e1c21538ab82,312,29,9.2948717948717949,1.6025641025641026,1.532673611111111,4743.95,6.7730900798175599,Investigate Now
729f06993dac8e860d4f02d7088ca48a,94,9,9.5744680851063830,2.1276595744680851,1.7001099537037039,4697.49,6.7730900798175599,Investigate Now
ea8482cd71df3c1969d7b9473ff13abc,1132,96,8.4805653710247350,7.6855123674911661,2.7315972222222222,4683.11,6.7730900798175599,Investigate Now
